Datum,f (Hz),V DC,A RMS,V RMS,Min,Max,Avg,Prel. mN,d - al (mm),T (deg C)
05/02,15,,10,,"1,079","1,104","0,076",6523,7,100
05/04,18,,"10,05","41,56","1,095","1,123","0,0855",7338,7,36
05/04,19,,"10,01",,"1,1","1,127","0,091",7811,7,45
05/04,20,48,"10,33","45,13","1,107","1,137","0,099",8497,7,36
05/04,21,48,10,"45,44","1,107","1,136","0,1",8583,7,35
05/04,22,48,"9,65","45,56","1,108","1,134","0,101",8669,7,35
05/04,23,48,"9,32","45,69","1,102","1,13","0,0975",8368,7,35
05/04,24,,"9,32",,"1,109","1,137","0,1015",8712,7,35
05/04,25,48,"8,72","45,87","1,104","1,123","0,091",7811,7,35
05/04,26,48,"8,46","46,01","1,104","1,123","0,088",7553,7,36
05/04,27,48,"8,21","46,1","1,101","1,119","0,0845",7253,7,36
05/04,28,48,"7,97","46,18","1,098","1,117","0,082",7038,7,36
05/04,29,48,"7,73","46,25","1,094","1,114","0,0785",6738,7,37
05/04,30,48,"7,5","46,25","1,092","1,111","0,0785",6738,7,36
05/04,40,48,"5,98","46,74","1,071","1,092","0,063",5407,7,35
05/04,50,48,"4,92",,"1,055","1,069","0,0415",3562,7,35
05/04,60,48,"4,2","47,14","1,055","1,069","0,0415",3562,7,35