05/02,5,,1,,"1,019","1,028","0,001",86,"5,5"
05/02,5,,2,"6,05","1,019","1,028","0,001",86,"5,5"
05/02,5,,3,,"1,02","1,03","0,0025",215,"5,5"
05/02,5,,4,"10,6","1,023","1,031","0,0045",386,"5,5"
05/02,5,,5,,"1,023","1,035","0,0065",558,"5,5"
05/02,5,,6,,"1,028","1,039","0,011",944,"5,5"
05/02,5,,7,,"1,029","1,045","0,0145",1245,"5,5"
05/02,10,,1,,"1,02","1,028","0,001",86,"5,5"
05/02,10,,2,"6,85","1,021","1,031","0,003",257,"5,5"
05/02,10,,3,,"1,022","1,033","0,0045",386,"5,5"
05/02,10,,4,"12,25","1,025","1,037","0,008",687,"5,5"
05/02,10,,5,,"1,03","1,044","0,014",1202,"5,5"
05/02,10,,6,,"1,039","1,054","0,0235",2017,"5,5"
05/02,10,,7,,"1,045","1,064","0,0315",2704,"5,5"
05/02,20,,1,,"1,019","1,029","0,001",86,"5,5"
05/02,20,,2,"9,75","1,021","1,031","0,003",257,"5,5"
05/02,20,,3,,"1,024","1,035","0,0065",558,"5,5"
05/02,20,,4,"18,25","1,035","1,047","0,018",1545,"5,5"
05/02,20,,5,,"1,048","1,065","0,0335",2875,"5,5"
05/02,20,,6,,"1,066","1,084","0,052",4463,"5,5"
05/02,20,,7,,"1,086","1,105","0,0725",6223,"5,5"
05/02,30,,1,,"1,02","1,029","0,0015",129,"5,5"
05/02,30,,2,"12,89","1,022","1,035","0,0055",472,"5,5"
05/02,30,,3,,"1,028","1,042","0,012",1030,"5,5"
05/02,30,,4,"24,82","1,041","1,058","0,0265",2274,"5,5"
05/02,30,,5,,"1,061","1,078","0,0465",3991,"5,5"
05/02,30,,6,,"1,08","1,102","0,068",5836,"5,5"
05/02,30,,7,,"1,11","1,13","0,097",8326,"5,5"
05/02,40,,1,,"1,015","1,024","0,001",86,"5,5"
05/02,40,,2,"16,05","1,023","1,036","0,011",944,"5,5"
05/02,40,,3,,"1,035","1,053","0,0255",2189,"5,5"
05/02,40,,4,"31,23","1,056","1,076","0,0475",4077,"5,5"
05/02,40,,5,,"1,064","1,089","0,058",4978,"5,5"
05/02,40,,6,,"1,108","1,138","0,1045",8969,"5,5"
05/02,40,,7,,"1,128","1,166","0,1285",11029,"5,5"
05/02,50,,1,,"1,024","1,033","0,0055",472,"5,5"
05/02,50,,2,"19,83","1,028","1,041","0,0115",987,"5,5"
05/02,50,,3,,"1,034","1,053","0,0205",1760,"5,5"
05/02,50,,4,"38,02","1,059","1,08","0,0465",3991,"5,5"
05/02,50,,5,,"1,083","1,11","0,0735",6309,"5,5"
05/02,60,,1,,"1,018","1,026","0,0015",129,"5,5"
05/02,60,,2,23,"1,024","1,037","0,01",858,"5,5"
05/02,60,,3,,"1,041","1,056","0,028",2403,"5,5"
05/02,60,,4,45,"1,065","1,083","0,0535",4592,"5,5"
05/02,60,,5,,"1,089","1,107","0,0775",6652,"5,5"